dim_is_requested	ds_night	ds	id_listing_anon	id_user_anon	m_effective_daily_price	m_pricing_cleaning_fee	dim_market	dim_lat	dim_lng	dim_room_type	dim_person_capacity	dim_is_instant_bookable	m_checkouts	m_reviews	days_since_last_booking	cancel_policy	image_quality_score	m_total_overall_rating	m_professional_pictures	dim_has_wireless_internet	ds_night_day_of_week	ds_night_day_of_year	ds_checkin_gap	ds_checkout_gap	occ_occupancy_plus_minus_7_ds_night	occ_occupancy_plus_minus_14_ds_night	occ_occupancy_trailing_90_ds	m_minimum_nights	m_maximum_nights	price_booked_most_recent	p2_p3_click_through_score	p3_inquiry_score	listing_m_listing_views_2_6_ds_night_decay	general_market_m_unique_searchers_0_6_ds_night	general_market_m_contacts_0_6_ds_night	general_market_m_reservation_requests_0_6_ds_night	general_market_m_is_booked_0_6_ds_night	m_available_listings_ds_night	kdt_score	r_kdt_listing_views_0_6_avg_n100	r_kdt_n_active_n100	r_kdt_n_available_n100	r_kdt_m_effective_daily_price_n100_p50	r_kdt_m_effective_daily_price_available_n100_p50	r_kdt_m_effective_daily_price_booked_n100_p50
false	2015-01-06	2014-12-07	0ae0c7cc-a8a4-425f-9ccc-8b25dbb94f4d	dcc74708-d5c4-47b2-bc0c-97bf5abfcd99	110.0	60.0	Los Angeles	34.053932	-118.36297	Private room	2	false	24	19	320	4	0.830959	74	16	1	2	6	0	7	NULL	NULL	0.0	5	90	92	NULL	NULL	0.13333333333333333	788.1428571428571	241.42857142857142	41.42857142857143	1.0	9840	1.3142857551574707	1.7959183673469388	57	48	79.0	75.0	98.0
true	2015-01-21	2014-12-22	82fdda07-6993-4cca-8ee4-fc218d2c07c7	559d8981-0c75-4631-9582-a3b644bb5631	70.0	0.0	Los Angeles	34.108578	-118.2086	Private room	2	true	105	55	3	3	0.967384	263	0	1	3	21	7	7	NULL	NULL	0.3595505617977528	1	1125	70	NULL	NULL	0.06666666666666667	830.1428571428571	298.0	51.714285714285715	1.0	9599	0.5357142686843872	2.693877551020407	49	36	65.0	65.0	42.0
false	2015-01-22	2014-12-23	69b2069d-cf8f-49a7-b559-9619dbe86a7d	ee7901a6-79d5-4d69-bacf-e4bca976a66a	125.0	0.0	Los Angeles	34.077194	-118.2057	Private room	1	false	0	0	NULL	3	0.485231	0	0	1	4	22	7	7	NULL	NULL	0.0	1	1125	NULL	NULL	NULL	0.0	810.1428571428571	281.0	51.714285714285715	1.0	9514	0.7142857313156128	2.7755102040816326	49	35	65.0	66.5	46.0
true	2015-02-02	2015-01-03	66baade6-9352-4d7c-b590-745899bd12b3	af691f3d-525e-497c-b9c5-8750b097b04d	126.86666666666667	125.0	Los Angeles	34.093494	-118.24734	Entire home/apt	6	false	0	0	NULL	5	0.30931	0	0	1	1	33	7	7	0.0	0.0	0.0	3	1125	NULL	NULL	NULL	0.7333333333333334	816.8571428571429	274.42857142857144	41.857142857142854	1.0	9739	1.7446808815002441	4.576530612244899	113	52	120.0	115.0	115.0
true	2015-02-13	2015-01-14	01e3589e-a50a-494b-8cb2-9645b29476d0	6733a1d9-d485-4ea7-b8d2-883ee8a363b9	210.71428571428572	200.0	Los Angeles	34.09754	-118.363556	Entire home/apt	5	false	9	1	34	5	0.335816	5	0	1	5	44	7	7	0.0	0.0	0.13333333333333333	2	1125	296	NULL	NULL	1.0	1347.4285714285713	419.42857142857144	78.85714285714286	1.0	9114	1.2000000476837158	4.877551020408163	97	57	150.0	157.5	164.5
false	2015-02-23	2015-01-24	b6222b7a-4d2d-4770-9b2f-9c2e711d953f	f61e18d6-5a67-43ec-9553-8be04dd02b54	36.0	35.0	Los Angeles	33.99006	-117.909966	Private room	3	false	6	2	33	5	0.727793	5	0	1	1	54	7	7	0.0	0.0	0.4574468085106383	1	1125	36	NULL	NULL	0.06666666666666667	1103.5714285714287	384.57142857142856	58.857142857142854	1.0	9093	0.6666666865348816	1.3061224489795917	84	71	60.0	60.0	40.0
false	2015-03-03	2015-02-01	63974898-6e06-4ca9-b6a1-d315d28e64aa	4d33f8f6-a185-4866-8233-6dee13d699e7	109.0	0.0	Los Angeles	34.068516	-118.346504	Private room	2	false	0	0	NULL	3	0.069733	0	0	0	2	62	7	7	0.0	0.0	0.0	1	1125	NULL	NULL	NULL	0.0	935.1428571428571	259.57142857142856	36.285714285714285	1.0	9706	0.5	0.3673469387755102	29	21	89.0	93.5	65.0
true	2015-03-03	2015-02-01	e073fc50-8b2a-485f-8daa-e66d0e936424	5eaad1fa-debf-46de-92ab-32c6a1dcb074	340.0	150.0	Los Angeles	34.106503	-118.300545	Entire home/apt	8	false	19	8	5	5	0.85905	34	0	1	2	62	7	7	0.0	0.08333333333333333	0.22535211267605634	1	365	389	NULL	NULL	1.0666666666666667	935.1428571428571	259.57142857142856	36.285714285714285	1.0	9706	0.7241379022598267	0.8979591836734694	23	15	128.0	117.5	70.0
false	2015-03-10	2015-02-08	fa43f4db-19ea-4945-b05b-d2d41c495863	78a46a22-c320-46f3-8810-34812a662896	29.0	0.0	Los Angeles	34.215054	-118.53494	Shared room	6	false	23	6	1	3	0.409632	20	0	1	2	69	7	7	0.0	0.0	0.41	1	1125	29	NULL	NULL	0.4000000000000001	1083.857142857143	274.7142857142857	44.42857142857143	1.0	9647	0.8148148059844971	1.755102040816327	20	18	35.0	35.0	29.0
false	2015-03-11	2015-02-09	83114506-2eeb-4f1c-87d9-36cc26355ac7	d5ccff5c-2846-4cfd-bd0d-eb11e6d2e9ce	1300.0	300.0	Los Angeles	34.104004	-118.36854	Entire home/apt	14	false	0	0	91	5	NULL	0	0	1	3	70	7	7	0.0	0.0	0.02380952380952381	2	29	1500	NULL	NULL	0.19999999999999998	1104.7142857142858	261.2857142857143	46.142857142857146	1.0	9556	0.692307710647583	3.1564625850340127	87	71	350.0	372.5	124.5
false	2015-03-31	2015-03-01	393f9565-2f86-4ea3-8d4f-30c3d024cfed	50606630-41da-47a9-8832-cdd6197d750d	300.0	100.0	Los Angeles	34.125755	-118.155914	Entire home/apt	4	false	0	0	NULL	5	0.744311	0	0	1	2	90	4	7	0.0	0.0	NULL	3	30	NULL	NULL	NULL	0.13333333333333333	942.5714285714286	263.2857142857143	37.285714285714285	1.0	9307	0.8571428656578064	0.5510204081632651	74	31	175.0	219.5	90.0
true	2015-04-10	2015-03-11	9c20bc49-c460-4fa8-ba06-9de11b1d6979	805f744e-d26b-494d-91f6-69a0c5b05fd8	459.0	140.0	Los Angeles	34.089855	-118.38564	Entire home/apt	7	false	7	3	35	5	0.76348	15	0	1	5	100	7	5	0.0	0.0	0.29411764705882354	1	1125	275	NULL	NULL	0.0	1233.857142857143	301.14285714285717	55.714285714285715	1.0	9435	1.2571429014205933	6.378911564625852	145	89	175.0	195.0	165.0
false	2015-04-23	2015-03-24	8e41b15d-fe3f-4a3a-85d2-4e1fb65068fb	1ad5c439-1edb-478a-8093-155701df9996	100.0	50.0	Los Angeles	34.09673	-118.26681	Private room	2	false	0	0	NULL	3	0.207123	0	0	1	4	113	7	7	0.0	0.0	0.0	3	1125	NULL	NULL	NULL	0.0	1092.2857142857142	321.57142857142856	46.0	1.0	9754	1.2162162065505981	1.1632653061224492	34	27	90.0	95.0	55.0
true	2015-05-06	2015-04-06	ea56ac3a-1a71-431d-bd6a-fa23da617deb	b68898fd-49b0-45f6-99cb-2e26c3da1218	55.0	35.0	Los Angeles	34.090652	-118.28126	Private room	2	false	0	0	0	5	0.087048	0	0	1	3	126	4	7	0.14285714285714285	0.32142857142857145	0.6	3	1125	42	NULL	NULL	0.0	999.2857142857143	258.42857142857144	33.57142857142857	0.8571428571428571	9839	0.4482758641242981	1.0	95	65	77.5	77.5	45.0
false	2015-05-10	2015-04-10	70ced453-226b-4c37-add8-398824465e88	5000ce41-dd2f-40e9-b457-c09caf36b5e6	175.0	150.0	Los Angeles	34.1	-118.44417	Entire home/apt	6	false	6	4	11	5	0.620505	20	0	1	0	130	7	7	0.0	0.0	0.28865979381443296	2	1125	321	NULL	NULL	0.19999999999999998	1061.5714285714287	205.57142857142858	28.142857142857142	0.7142857142857143	9677	0.9285714030265808	7.020408163265306	332	268	670.0	725.0	129.0
false	2015-05-19	2015-04-19	c43c52e8-7a97-40bb-8cca-f06645a4287a	48a5a232-5f25-49b2-b759-eeec1a7f938e	418.0	140.0	Los Angeles	34.118885	-118.41327	Entire home/apt	10	false	27	10	11	4	0.911365	48	22	1	2	139	7	2	0.13333333333333333	0.06896551724137931	0.23595505617977527	1	30	540	NULL	NULL	0.3333333333333333	1176.5714285714287	336.7142857142857	41.714285714285715	1.0	9553	0.8571428656578064	2.3877551020408165	82	66	700.0	700.0	150.0
